cacheSizeMB,rebalanceStrategy,allocator,numCacheGet,numCacheGetMisses
256,lru-tail,LRU,69392150,27016686
1024,random,LRU2Q,69392150,9502910
1024,lru-tail,LRU,69392150,10722869
512,marginal-hits,LRU2Q,69392150,16855781
2048,lru-tail,LRU,69392150,6264264
65536,default,TINYLFU,69392150,1699448
65536,hits,LRU2Q,69392150,1699448
16384,default,LRU2Q,69392150,3585186
32768,default,LRU,69392150,1699448
256,free-mem,LRU,69392150,21215999
512,random,LRU2Q,69392150,13083905
1024,hits,LRU2Q,69392150,5159333
2048,random,LRU2Q,69392150,7171446
8192,random,LRU2Q,69392150,4321079
1024,default,LRU2Q,69392150,8011383
1024,hits,LRU,69392150,5051746
65536,lru-tail,TINYLFU,69392150,1699448
65536,hits,TINYLFU,69392150,1699448
32768,random,TINYLFU,69392150,1699448
8192,default,LRU2Q,69392150,4208704
512,random,TINYLFU,69392150,15947787
8192,free-mem,TINYLFU,69392150,4184641
16384,random,TINYLFU,69392150,3605245
512,lru-tail,LRU2Q,69392150,18232475
8192,free-mem,LRU2Q,69392150,4208641
16384,free-mem,LRU2Q,69392150,3585186
16384,lru-tail,LRU,69392150,4485484
1024,free-mem,LRU,69392150,7923399
512,hits,TINYLFU,69392150,7681861
512,hits,LRU2Q,69392150,8638795
256,hits,LRU,69392150,13812429
1024,default,LRU,69392150,7923374
256,free-mem,LRU2Q,69392150,21457581
32768,lru-tail,TINYLFU,69392150,1699448
16384,lru-tail,TINYLFU,69392150,4204133
2048,marginal-hits,LRU2Q,69392150,5812449
2048,lru-tail,LRU2Q,69392150,6828211
65536,random,LRU2Q,69392150,1699448
1024,free-mem,LRU2Q,69392150,8011285
2048,lru-tail,TINYLFU,69392150,6672314
2048,hits,TINYLFU,69392150,3242519
16384,random,LRU,69392150,3463701
256,free-mem,TINYLFU,69392150,20008961
32768,free-mem,LRU2Q,69392150,1699448
256,random,LRU2Q,69392150,28649846
32768,lru-tail,LRU,69392150,1699448
512,default,LRU,69392150,11153748
512,hits,LRU,69392150,8592022
2048,random,LRU,69392150,6675640
32768,hits,LRU2Q,69392150,1699448
65536,hits,LRU,69392150,1699448
2048,free-mem,TINYLFU,69392150,5809041
32768,marginal-hits,LRU2Q,69392150,1699448
2048,hits,LRU,69392150,3412081
512,free-mem,LRU,69392150,11153748
512,default,TINYLFU,69392150,10126191
32768,random,LRU,69392150,1699448
8192,random,TINYLFU,69392150,4608768
2048,free-mem,LRU2Q,69392150,6107543
1024,lru-tail,TINYLFU,69392150,7467199
65536,random,LRU,69392150,1699448
16384,marginal-hits,LRU2Q,69392150,3666940
1024,default,TINYLFU,69392150,7354848
65536,random,TINYLFU,69392150,1699448
512,lru-tail,LRU,69392150,11562347
1024,lru-tail,LRU2Q,69392150,8361576
65536,free-mem,TINYLFU,69392150,1699448
8192,lru-tail,LRU2Q,69392150,4440961
2048,default,LRU,69392150,6070731
512,free-mem,LRU2Q,69392150,11310697
512,default,LRU2Q,69392150,11310705
65536,lru-tail,LRU,69392150,1699448
16384,free-mem,LRU,69392150,3552250
65536,default,LRU2Q,69392150,1699448
16384,hits,LRU,69392150,2084090
256,hits,TINYLFU,69392150,12971894
256,default,LRU2Q,69392150,21457588
8192,hits,TINYLFU,69392150,2200462
65536,lru-tail,LRU2Q,69392150,1699448
1024,free-mem,TINYLFU,69392150,7356804
16384,hits,LRU2Q,69392150,2105690
256,hits,LRU2Q,69392150,14039332
8192,default,LRU,69392150,4174693
16384,default,LRU,69392150,3552199
256,random,LRU,69392150,31275776
8192,hits,LRU2Q,69392150,2287292
65536,marginal-hits,LRU2Q,69392150,1699448
16384,free-mem,TINYLFU,69392150,3570832
512,lru-tail,TINYLFU,69392150,14017944
256,default,TINYLFU,69392150,20008956
256,lru-tail,LRU2Q,69392150,31090177
8192,default,TINYLFU,69392150,4183766
32768,free-mem,LRU,69392150,1699448
32768,default,LRU2Q,69392150,1699448
256,marginal-hits,LRU2Q,69392150,25735396
32768,hits,LRU,69392150,1699448
2048,random,TINYLFU,69392150,9470599
2048,hits,LRU2Q,69392150,3404076
16384,hits,TINYLFU,69392150,2045453
32768,hits,TINYLFU,69392150,1699448
1024,hits,TINYLFU,69392150,4730786
512,random,LRU,69392150,14419779
512,free-mem,TINYLFU,69392150,10126218
1024,marginal-hits,LRU2Q,69392150,8050928
32768,random,LRU2Q,69392150,1699448
32768,default,TINYLFU,69392150,1699448
32768,lru-tail,LRU2Q,69392150,1699448
16384,random,LRU2Q,69392150,4154331
8192,marginal-hits,LRU2Q,69392150,4306963
256,lru-tail,TINYLFU,69392150,26452345
8192,random,LRU,69392150,4580114
1024,random,LRU,69392150,8815743
65536,default,LRU,69392150,1699448
65536,free-mem,LRU,69392150,1699448
8192,lru-tail,TINYLFU,69392150,4677003
2048,default,LRU2Q,69392150,6107381
256,default,LRU,69392150,21215984
8192,hits,LRU,69392150,2249663
2048,default,TINYLFU,69392150,5809224
256,random,TINYLFU,69392150,29172502
65536,free-mem,LRU2Q,69392150,1699448
1024,random,TINYLFU,69392150,8327013
16384,lru-tail,LRU2Q,69392150,3503205
8192,lru-tail,LRU,69392150,4522757
8192,free-mem,LRU,69392150,4174204
32768,free-mem,TINYLFU,69392150,1699448
16384,default,TINYLFU,69392150,3571034
2048,free-mem,LRU,69392150,6070800

